ax,ay,az,gx,gy,gz,label
1772,5468,15464,1639,773,2489,caminar
1436,5096,14992,2647,661,3234,caminar
1848,4864,15260,3787,1607,3834,caminar
1928,5372,15972,2677,2640,5981,caminar
1864,5236,15000,1930,2442,5952,caminar
2356,7168,15016,178,1314,7360,caminar
1580,7160,14244,-1380,3403,10516,caminar
1360,7576,14400,-1885,3919,12003,caminar
684,5496,14984,-815,-86,7829,caminar
3684,7776,13272,356,854,5652,caminar
4492,6448,15176,-602,1412,7903,caminar
3104,5532,15084,1226,-796,6335,caminar
3184,7172,15308,2373,-3057,5032,caminar
2908,7664,13828,1538,-2828,5231,caminar
3764,8148,13556,1585,-2663,5314,caminar
5696,9116,14528,-682,-2575,7475,caminar
5632,5948,13044,-2539,-1336,9407,caminar
8036,4896,17312,-2566,-2284,8517,caminar
9880,3460,15904,-1025,-3689,9157,caminar
8568,3268,12928,3812,-6800,7116,caminar
8852,2988,9864,5621,-5071,7045,caminar
9588,2224,8932,6461,-5535,8744,caminar
10252,2956,11068,6183,-5320,8927,caminar
9524,2844,9180,5478,-2611,10452,caminar
10624,4128,8532,634,2991,15898,caminar
10316,1040,9464,-3592,5424,21512,caminar
11152,-1976,12700,-4062,6958,20021,caminar
10824,-3852,12836,-5616,5770,19124,caminar
9568,-5572,10560,-4261,3529,16363,caminar
8568,-6956,11280,864,1234,11107,caminar
7368,-6572,12992,6194,-2669,5409,caminar
5528,-2932,13284,8299,3863,7363,caminar
4512,-7152,18296,13493,1909,5244,caminar
7536,-4684,20824,4523,2073,1720,caminar
7324,476,17520,5941,-3720,-1999,caminar
5168,1924,12280,9912,-9960,-3557,caminar
6604,1912,10572,8448,-3017,-719,caminar
8284,1048,10688,6321,-1834,454,caminar
10212,2272,10272,5243,-1322,2179,caminar
10748,1112,11452,176,1534,7531,caminar
10432,-1752,11892,-1414,-986,6948,caminar
12036,-1412,12728,-3831,-368,4772,caminar
11520,-2676,15688,-2902,-2032,3142,caminar
10740,-3572,15008,-6047,-595,348,caminar
11360,-3944,17680,-3121,1849,-1533,caminar
9080,-5364,16820,-5212,-1436,-7198,caminar
7156,-2152,10476,-5916,-2322,-10644,caminar
8624,-3380,12192,-1219,-382,-11923,caminar
9240,-2260,11300,82,-2998,-11337,caminar
8984,-3008,11196,-3945,-72,-10842,caminar
9256,-2040,12084,-780,-987,-12972,caminar
9540,408,10980,-1333,-2310,-14038,caminar
11548,3220,10020,101,-3967,-9970,caminar
11712,2904,10448,1798,-5761,-10246,caminar
11680,3724,10968,-2582,-5116,-12894,caminar
13292,4888,11792,1249,-2732,-7077,caminar
13920,4708,13280,-3216,-2935,-4712,caminar
13852,2536,14104,-6419,-393,-3349,caminar
9884,-196,12480,-8777,-3691,-9338,caminar
7128,1300,8820,-9426,-5663,-16814,caminar
8200,1032,12568,-11201,-3440,-15086,caminar
8920,1528,15208,-14385,-2952,-17214,caminar
8032,1968,14652,-18970,-2484,-17976,caminar
6752,1688,11856,-22121,209,-14956,caminar
6204,564,12860,-18615,-686,-17774,caminar
7168,-4012,19352,-18054,1104,-19426,caminar
7008,-1240,17672,-18167,-5070,-20055,caminar
5952,-1040,17088,-18688,-4739,-19486,caminar
5160,-1976,18856,-17682,-4296,-19460,caminar
6416,-164,14076,-12973,-3556,-22127,caminar
6220,2532,12060,-11505,-4011,-20092,caminar
8772,2508,11884,-7638,-596,-18216,caminar
9872,2004,13748,-4853,-808,-14914,caminar
9868,1632,13452,-4236,-1420,-12540,caminar
8672,3516,11328,-2696,1685,-10742,caminar
9088,3116,11992,3909,4262,-10860,caminar
7544,8680,9860,-900,3356,-15890,caminar
8056,6580,13384,4811,8935,-12598,caminar
6996,10088,14208,10698,6379,-9119,caminar
7176,8504,13924,10271,5900,-4788,caminar
1488,9128,16576,6699,4108,-2761,caminar
1264,11284,13612,9012,-1025,-6176,caminar
12,10900,12568,9085,-1049,-6015,caminar
-4,10872,10420,7939,608,-5180,caminar
-40,11872,9100,5943,-1237,-1032,caminar
716,12372,7060,6096,371,-806,caminar
1812,14072,6364,1875,-429,-487,caminar
2336,14032,7136,-477,895,3067,caminar
2836,14108,7560,-1651,648,4702,caminar
3348,12400,9448,-970,-1732,3617,caminar
2164,11484,9380,-4133,-4139,2433,caminar
2528,12164,11008,-3689,-4897,2723,caminar
2328,10368,12256,-8309,-10060,-1297,caminar
